"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
18175,6/30/2024 0:00:00,9571,"HENRICO",574,"Henrico FCU at Nabisco"
18175,6/30/2024 0:00:00,9571,"HENRICO",846,"Bellwood Credit Union at DSCR"
18271,6/30/2024 0:00:00,9619,"PRINCE GEORGE'S COMMUNITY",1063,"Prince George's Credit Union"
18297,6/30/2024 0:00:00,9632,"COASTAL",585,"Daymark Realty"
18297,6/30/2024 0:00:00,9632,"COASTAL",586,"Coastal Wealth Management"
18297,6/30/2024 0:00:00,9632,"COASTAL",587,"Coastal Credit Union"
18297,6/30/2024 0:00:00,9632,"COASTAL",607,"Coastal Title"
18297,6/30/2024 0:00:00,9632,"COASTAL",608,"Coastal Foundation"
18297,6/30/2024 0:00:00,9632,"COASTAL",984,"United Members Title"
18297,6/30/2024 0:00:00,9632,"COASTAL",1059,"United Members Title"
18343,6/30/2024 0:00:00,9653,"USEM MENA",807,"USEM Mena Federal Credit Union"
18616,6/30/2024 0:00:00,9811,"DUKE UNIVERSITY",55,"Duke Credit Union"
18635,6/30/2024 0:00:00,9822,"PORT WASHINGTON",1151,"pwfcu"
18635,6/30/2024 0:00:00,9822,"PORT WASHINGTON",1152,"pwfcu"
18708,6/30/2024 0:00:00,9854,"PARTNERS",1104,"Partners Federal Credit Union"
18710,6/30/2024 0:00:00,9856,"GARDEN SAVINGS",400,"Garden Savings"
18814,6/30/2024 0:00:00,9905,"GARLAND COUNTY EDUCATORS",688,"GCEFCU"
18965,6/30/2024 0:00:00,9975,"OKUNITY",1101,"Oklahoma Community Credit Union"
19263,6/30/2024 0:00:00,10142,"NEW ENGLAND",69,"New England Federal Credit Union"
